"breaks" "density"
"1" 0 0.00458715596330275
"2" 1 0.0917431192660551
"3" 2 0.160550458715596
"4" 3 0.137614678899083
"5" 4 0.073394495412844
"6" 5 0.0642201834862385
"7" 6 0.0688073394495413
"8" 7 0.018348623853211
"9" 8 0.036697247706422
"10" 9 0.0229357798165138
"11" 10 0.0458715596330275
"12" 11 0.0321100917431193
"13" 12 0.0137614678899083
"14" 13 0.018348623853211
"15" 14 0.0229357798165138
"16" 15 0.0321100917431193
"17" 16 0.00917431192660551
"18" 17 0.0321100917431193
"19" 18 0.018348623853211
"20" 19 0.0229357798165138
"21" 20 0.00917431192660551
"22" 21 0.00917431192660551
"23" 22 0.018348623853211
"24" 23 0.018348623853211
"25" 24 0.018348623853211
"26" 25 0
